R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Barcelona,19,5,56,598
2,Real Madrid,26,4,62,473
3,Rayo Vallecano,24,1,74,403
4,Valencia,26,2,62,391
5,Athletic Bilbao,28,4,68,389
6,Celta Vigo,20,2,63,380
7,Atletico Madrid,25,2,54,352
8,Real Sociedad,23,1,65,341
9,Malaga,21,2,59,332
10,Real Valladolid,24,1,70,331
11,Sevilla,16,3,61,327
12,Granada,19,1,63,322
13,Real Betis,23,1,64,317
14,Osasuna,23,1,73,316
15,Elche,19,1,69,295
16,Villarreal,16,2,43,295
17,Almeria,19,1,70,277
18,Getafe,21,1,60,271
19,Espanyol,20,1,58,253
20,Levante,15,1,61,232
