R,Team,Left Side,Attempts from the middle,Right Side
1,Elche,26%,55%,19%
2,Real Betis,24%,59%,18%
3,Rayo Vallecano,24%,57%,19%
4,Osasuna,24%,59%,17%
5,Real Madrid,23%,61%,16%
6,Celta Vigo,22%,59%,19%
7,Malaga,21%,62%,17%
8,Real Sociedad,21%,61%,18%
9,Barcelona,21%,64%,15%
10,Real Valladolid,20%,61%,19%
11,Villarreal,20%,61%,18%
12,Athletic Bilbao,19%,65%,16%
13,Sevilla,19%,63%,18%
14,Granada,19%,64%,17%
15,Atletico Madrid,18%,66%,16%
16,Valencia,17%,66%,17%
17,Almeria,17%,62%,21%
18,Espanyol,16%,62%,22%
19,Getafe,16%,63%,21%
20,Levante,15%,64%,21%
