R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Barcelona,67,10,8,10,2
2,Real Madrid,66,13,18,6,1
3,Atletico Madrid,42,8,18,6,3
4,Sevilla,39,2,18,7,1
5,Real Sociedad,39,5,12,2,3
6,Athletic Bilbao,38,3,19,4,1
7,Villarreal,37,3,6,5,2
8,Celta Vigo,35,3,6,1,2
9,Valencia,32,2,15,2,0
10,Rayo Vallecano,31,0,7,7,1
11,Malaga,25,2,9,2,0
12,Real Betis,22,3,9,1,1
13,Real Valladolid,22,2,12,1,1
14,Osasuna,21,1,9,0,1
15,Almeria,20,4,11,8,0
16,Espanyol,20,2,11,4,1
17,Getafe,18,4,10,2,1
18,Elche,18,1,6,4,0
19,Levante,15,4,11,3,2
20,Granada,15,3,10,3,1
