R,Team,Own Third,Middle Third,Opposition Third
1,Levante,32%,43%,25%
2,Osasuna,30%,44%,25%
3,Sevilla,30%,44%,26%
4,Villarreal,30%,43%,27%
5,Getafe,30%,44%,26%
6,Almeria,30%,43%,26%
7,Real Valladolid,29%,45%,26%
8,Real Sociedad,29%,44%,27%
9,Celta Vigo,28%,44%,28%
10,Rayo Vallecano,28%,43%,28%
11,Elche,28%,45%,27%
12,Real Betis,27%,43%,30%
13,Valencia,27%,44%,28%
14,Espanyol,27%,45%,29%
15,Malaga,27%,44%,28%
16,Granada,27%,47%,25%
17,Atletico Madrid,26%,43%,31%
18,Athletic Bilbao,25%,45%,29%
19,Real Madrid,23%,45%,31%
20,Barcelona,22%,46%,32%
