Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Barcelona,16.4,7.2,13.9,14.7,7.28
2. Real Madrid,18.1,7.4,12.6,14.3,7.24
3. Atletico Madrid,11.5,4.9,7.1,14.2,7.01
4. Valencia,11.6,4.2,8.2,16.1,6.99
5. Sevilla,12.2,4.9,8.4,13.6,6.89
6. Villarreal,13.3,4.7,7.3,11.7,6.88
7. Celta Vigo,13.1,4.3,9.9,13,6.82
8. Athletic Bilbao,11.7,3.8,7.1,13.4,6.81
9. Real Sociedad,11.3,3.5,7,14.7,6.79
10. Espanyol,9.7,3.6,7,14.1,6.73
11. Rayo Vallecano,12.9,4.5,7.9,13.8,6.71
12. Malaga,12.1,4.3,7.8,13.4,6.70
13. Deportivo La Coruna,10.5,3.4,7.5,13.1,6.67
14. Getafe,11.1,3.8,9.6,12.5,6.65
15. Almeria,10.4,3.1,7.9,13.6,6.64
16. Eibar,9.3,3.2,5.7,10.8,6.62
17. Cordoba,10.2,3.1,8.9,13.1,6.61
18. Granada,10.6,3.3,8.9,12.8,6.61
19. Levante,10.6,2.7,7.5,12.6,6.60
20. Elche,10.7,3.3,6.5,12.8,6.59
