Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Barcelona,8,21.1,13.1,9.8,3.2,7.28
2. Real Madrid,11.9,17.9,12.7,10.7,3.1,7.24
3. Atletico Madrid,8.6,23.3,15.9,14.3,2.6,7.01
4. Valencia,10.8,22.7,18,14.9,1.8,6.99
5. Sevilla,12.7,19.7,16.2,16,3.1,6.89
6. Villarreal,12.2,18.9,19,13.8,2.3,6.88
7. Celta Vigo,11.1,22.1,17.7,15.4,2.9,6.82
8. Athletic Bilbao,10.1,20.9,19.8,14,2.4,6.81
9. Real Sociedad,13.4,20.4,15.9,13.5,2.7,6.79
10. Espanyol,11.9,19.8,16.8,15.6,1.8,6.73
11. Rayo Vallecano,12.2,20.9,17.3,14.6,2.9,6.71
12. Malaga,10.2,21.2,16.6,15,3.3,6.70
13. Deportivo La Coruna,11.6,22.2,19.7,14.6,2.9,6.67
14. Getafe,13.1,19.7,19.9,14.3,1.9,6.65
15. Almeria,14.2,18.2,17.4,14.7,1.6,6.64
16. Eibar,14.4,18.8,17.2,14.9,1.9,6.62
17. Cordoba,14.1,20.1,18.2,12.8,1.6,6.61
18. Granada,11.5,19.4,17.6,15.1,2.3,6.61
19. Levante,12.7,17,18.1,14.7,1.8,6.60
20. Elche,12.6,19.1,14.8,15.5,2.6,6.59
