R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Barcelona,80,6,16,6,2
2,Real Madrid,77,9,19,11,2
3,Sevilla,44,4,12,8,3
4,Rayo Vallecano,38,0,6,2,0
5,Valencia,36,5,20,5,4
6,Espanyol,35,4,4,4,0
7,Villarreal,33,5,8,2,0
8,Celta Vigo,32,3,8,4,0
9,Malaga,29,3,4,4,2
10,Atletico Madrid,29,1,30,5,2
11,Real Sociedad,28,0,10,3,3
12,Deportivo La Coruna,22,1,6,4,2
13,Levante,21,2,8,3,0
14,Getafe,20,2,9,1,1
15,Athletic Bilbao,17,3,16,5,1
16,Elche,17,5,9,4,0
17,Eibar,17,2,12,2,1
18,Granada,17,0,6,6,0
19,Cordoba,15,0,4,2,1
20,Almeria,11,6,11,5,2
