R,Team,Own Third,Middle Third,Opposition Third
1,Cordoba,31%,46%,24%
2,Eibar,31%,45%,25%
3,Valencia,29%,46%,26%
4,Getafe,29%,46%,25%
5,Sevilla,29%,44%,28%
6,Villarreal,29%,45%,26%
7,Deportivo La Coruna,28%,45%,26%
8,Malaga,28%,44%,28%
9,Rayo Vallecano,28%,45%,27%
10,Real Sociedad,28%,44%,27%
11,Elche,28%,48%,25%
12,Almeria,28%,45%,28%
13,Espanyol,27%,46%,27%
14,Granada,27%,47%,26%
15,Levante,27%,46%,27%
16,Atletico Madrid,26%,45%,29%
17,Real Madrid,25%,46%,29%
18,Athletic Bilbao,25%,46%,29%
19,Celta Vigo,25%,47%,27%
20,Barcelona,20%,46%,34%
