R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Malaga,10%,57%,34%
2,Almeria,10%,55%,35%
3,Athletic Bilbao,9%,51%,40%
4,Rayo Vallecano,9%,57%,34%
5,Elche,9%,52%,39%
6,Celta Vigo,8%,52%,40%
7,Atletico Madrid,8%,43%,49%
8,Real Sociedad,8%,51%,41%
9,Eibar,8%,48%,44%
10,Granada,8%,53%,39%
11,Valencia,7%,44%,49%
12,Cordoba,7%,52%,41%
13,Levante,7%,58%,35%
14,Real Madrid,6%,48%,46%
15,Sevilla,6%,42%,52%
16,Espanyol,6%,53%,40%
17,Villarreal,6%,47%,47%
18,Deportivo La Coruna,5%,53%,41%
19,Getafe,5%,52%,43%
20,Barcelona,4%,54%,43%
