R,Team,Fouls,Unprofessional,Dive,Other
1,Sevilla,87,8,4,20
2,Espanyol,86,5,2,34
3,Rayo Vallecano,84,4,0,28
4,Almeria,81,5,2,39
5,Elche,81,4,0,29
6,Deportivo La Coruna,80,6,2,25
7,Granada,78,7,1,33
8,Valencia,77,12,1,27
9,Malaga,77,10,2,29
10,Atletico Madrid,75,5,0,39
11,Eibar,74,8,1,28
12,Levante,72,5,3,30
13,Villarreal,72,3,3,19
14,Cordoba,71,7,0,32
15,Athletic Bilbao,69,8,0,26
16,Celta Vigo,68,11,1,43
17,Getafe,66,5,0,30
18,Real Madrid,56,4,1,28
19,Real Sociedad,54,3,2,30
20,Barcelona,46,4,1,20
