R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Sevilla,12%,54%,34%
2,Atletico Madrid,11%,57%,32%
3,Athletic Bilbao,9%,50%,42%
4,Espanyol,9%,53%,38%
5,Valencia,8%,59%,33%
6,Barcelona,8%,60%,32%
7,Villarreal,8%,53%,38%
8,Real Madrid,7%,55%,38%
9,Deportivo La Coruna,7%,54%,40%
10,Celta Vigo,7%,58%,35%
11,Cordoba,7%,44%,49%
12,Malaga,7%,44%,49%
13,Rayo Vallecano,6%,46%,47%
14,Granada,6%,45%,49%
15,Almeria,6%,50%,43%
16,Levante,6%,51%,43%
17,Eibar,5%,45%,50%
18,Getafe,5%,43%,52%
19,Elche,5%,47%,48%
20,Real Sociedad,4%,49%,48%
