Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Barcelona,110,16.4,673,65.3,88.2,10.3,7.28
2. Real Madrid,118,18.1,853,56.2,86.3,13.2,7.24
3. Atletico Madrid,67,11.5,1105,49.4,76.3,23.3,7.01
4. Valencia,69,11.6,1039,50.8,77.8,18.8,6.99
5. Sevilla,71,12.2,1162,49.9,76.2,17,6.89
6. Villarreal,48,13.3,942,48.9,75.2,16.7,6.88
7. Celta Vigo,47,13.1,1175,55.2,79.6,18.9,6.82
8. Athletic Bilbao,42,11.7,964,50.8,73.2,22.7,6.81
9. Real Sociedad,44,11.3,881,50.3,75.0,21.2,6.79
10. Espanyol,47,9.7,1116,46.1,72.2,17.6,6.73
11. Rayo Vallecano,46,12.9,1066,55.4,78.7,17.9,6.71
12. Malaga,42,12.1,1078,48.9,74.2,15.5,6.70
13. Deportivo La Coruna,35,10.5,1034,48.4,75.0,17,6.67
14. Getafe,33,11.1,964,47.3,74.3,16.9,6.65
15. Almeria,35,10.4,10711,46.0,70.6,16.2,6.64
16. Eibar,34,9.3,1035,44.6,68.2,20.3,6.62
17. Cordoba,22,10.2,959,47.4,75.6,18.9,6.61
18. Granada,29,10.6,1125,46.9,74.3,17.4,6.61
19. Levante,35,10.6,1073,44.1,71.1,19.1,6.60
20. Elche,35,10.7,1036,47.9,75.1,15.6,6.59
