R,Team,Left Side,Attempts from the middle,Right Side
1,Getafe,28%,51%,21%
2,Eibar,26%,57%,18%
3,Cordoba,24%,54%,23%
4,Celta Vigo,22%,63%,15%
5,Real Sociedad,22%,58%,19%
6,Malaga,22%,58%,19%
7,Elche,22%,58%,20%
8,Rayo Vallecano,21%,61%,18%
9,Almeria,20%,62%,18%
10,Espanyol,19%,67%,14%
11,Villarreal,19%,62%,20%
12,Valencia,18%,69%,13%
13,Granada,18%,63%,19%
14,Real Madrid,17%,67%,16%
15,Athletic Bilbao,17%,69%,14%
16,Barcelona,16%,70%,14%
17,Sevilla,16%,66%,18%
18,Deportivo La Coruna,15%,62%,23%
19,Atletico Madrid,14%,75%,11%
20,Levante,14%,67%,19%
