R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Levante,23,2,74,404
2,Eibar,26,2,72,398
3,Cordoba,25,2,66,390
4,Getafe,23,2,67,379
5,Espanyol,20,2,67,374
6,Elche,23,3,65,370
7,Deportivo La Coruna,21,2,65,367
8,Villarreal,27,2,70,366
9,Atletico Madrid,18,1,73,355
10,Granada,20,2,66,351
11,Almeria,26,3,65,349
12,Athletic Bilbao,18,2,78,342
13,Sevilla,22,2,66,337
14,Real Sociedad,24,2,67,333
15,Valencia,21,2,65,332
16,Real Madrid,20,2,55,331
17,Malaga,22,1,70,326
18,Celta Vigo,18,1,65,296
19,Rayo Vallecano,18,3,72,267
20,Barcelona,14,2,54,234
