R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Metz,53,1,12,5,1
2,Lorient,45,0,18,5,2
3,Caen,45,5,5,8,2
4,Montpellier,42,1,13,7,3
5,Dijon,40,0,8,9,1
6,SC Bastia,35,0,13,4,2
7,Guingamp,34,1,11,7,0
8,Nancy,32,4,7,7,2
9,Lille,31,2,9,4,1
10,Angers,31,1,11,2,4
11,Marseille,30,0,8,2,1
12,Nantes,30,1,13,9,1
13,Rennes,29,1,10,1,1
14,Lyon,28,2,12,5,1
15,Toulouse,25,0,8,8,0
16,Saint-Etienne,24,5,11,2,0
17,Nice,24,0,7,4,1
18,Bordeaux,23,3,11,4,2
19,Paris Saint-Germain,15,2,7,2,1
20,Monaco,14,0,14,3,0
