R,Team,Left Side,Attempts from the middle,Right Side
1,Rennes,25%,59%,16%
2,SC Bastia,21%,63%,16%
3,Bordeaux,21%,62%,17%
4,Nice,21%,60%,19%
5,Lorient,20%,62%,18%
6,Lyon,20%,61%,18%
7,Angers,20%,65%,15%
8,Nantes,19%,62%,19%
9,Dijon,19%,62%,19%
10,Paris Saint-Germain,18%,66%,16%
11,Montpellier,18%,69%,13%
12,Nancy,17%,62%,21%
13,Toulouse,17%,65%,17%
14,Caen,17%,68%,15%
15,Monaco,16%,67%,16%
16,Marseille,16%,64%,20%
17,Guingamp,16%,68%,15%
18,Metz,16%,68%,16%
19,Lille,16%,63%,21%
20,Saint-Etienne,14%,66%,20%
