R,Team,Left Side,Attempts from the middle,Right Side
1,Paris Saint-Germain,22%,60%,18%
2,Dijon,21%,62%,17%
3,Nancy,20%,65%,16%
4,Lyon,20%,62%,18%
5,Marseille,20%,63%,18%
6,Lille,20%,66%,14%
7,Toulouse,19%,61%,19%
8,Nantes,19%,64%,18%
9,Montpellier,19%,61%,20%
10,Angers,19%,62%,19%
11,Monaco,18%,63%,19%
12,SC Bastia,18%,65%,17%
13,Metz,18%,66%,16%
14,Lorient,17%,65%,18%
15,Bordeaux,17%,67%,16%
16,Guingamp,17%,64%,19%
17,Caen,17%,69%,14%
18,Nice,17%,66%,17%
19,Saint-Etienne,16%,65%,18%
20,Rennes,15%,66%,19%
