R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Angers,19,2,61,444
2,Metz,23,2,57,432
3,Nancy,19,2,63,426
4,Caen,18,2,67,418
5,Dijon,22,1,68,416
6,SC Bastia,22,2,68,414
7,Montpellier,18,2,66,405
8,Bordeaux,19,2,63,405
9,Lorient,20,2,65,393
10,Guingamp,20,2,62,391
11,Nantes,18,2,70,383
12,Saint-Etienne,18,2,64,382
13,Toulouse,21,2,70,382
14,Rennes,17,1,69,381
15,Lille,18,1,63,365
16,Monaco,20,1,66,356
17,Nice,22,1,57,354
18,Marseille,18,2,56,346
19,Paris Saint-Germain,15,1,54,304
20,Lyon,18,1,61,302
