R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Monaco,66,3,23,11,4
2,Paris Saint-Germain,52,5,13,9,4
3,Lyon,48,2,12,12,3
4,Nice,45,2,10,6,0
5,Guingamp,36,1,5,4,0
6,Marseille,35,2,15,4,1
7,Bordeaux,35,1,11,4,2
8,Nantes,32,1,5,2,0
9,Montpellier,32,2,11,3,0
10,Lorient,29,2,8,4,1
11,Rennes,28,1,4,2,1
12,Angers,27,1,8,3,1
13,Caen,25,0,6,4,1
14,Dijon,25,1,13,3,4
15,Saint-Etienne,22,1,12,5,1
16,Lille,22,1,10,7,0
17,Nancy,20,0,8,1,0
18,Toulouse,19,0,12,6,0
19,SC Bastia,17,2,9,0,1
20,Metz,15,1,13,8,2
