Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Monaco,14.6,4.8,1.2,8.6,7.14
2. Paris Saint-Germain,15.4,5.1,1.5,8.8,7.09
3. Lyon,15.5,5.7,0.9,8.8,6.96
4. Marseille,12.1,4.9,0.9,6.2,6.91
5. Nice,11.5,5.2,0.5,5.8,6.90
6. Bordeaux,11.8,4.8,0.7,6.3,6.81
7. Saint-Etienne,10.6,4.1,0.5,6,6.80
8. Dijon,11.3,4.7,0.8,5.8,6.77
9. Montpellier,13.2,5.5,0.7,7,6.77
10. Guingamp,11.7,4.2,1,6.6,6.77
11. Rennes,11.5,4.8,0.4,6.2,6.77
12. Lille,12.8,6.5,0.6,5.7,6.75
13. Toulouse,10.1,3.9,0.5,5.6,6.73
14. Angers,13.9,6.3,0.8,6.8,6.71
15. Caen,12.2,5.6,0.6,6.1,6.71
16. Nantes,12.1,4.8,0.6,6.6,6.68
17. Nancy,9.9,4.3,0.4,5.3,6.66
18. Metz,9.4,4,0.4,5,6.66
19. Lorient,11.3,4.4,0.6,6.2,6.63
20. SC Bastia,10.2,5.4,0.5,4.4,6.62
