R,Team,Own Third,Middle Third,Opposition Third
1,Metz,30%,46%,25%
2,Nice,30%,49%,20%
3,SC Bastia,29%,47%,24%
4,Dijon,29%,47%,25%
5,Guingamp,28%,46%,27%
6,Nancy,27%,47%,26%
7,Saint-Etienne,27%,47%,26%
8,Marseille,27%,48%,26%
9,Toulouse,26%,47%,27%
10,Bordeaux,26%,48%,26%
11,Caen,26%,47%,26%
12,Lille,26%,48%,26%
13,Lorient,25%,48%,27%
14,Nantes,25%,47%,28%
15,Angers,25%,48%,26%
16,Lyon,24%,48%,28%
17,Montpellier,24%,49%,27%
18,Paris Saint-Germain,24%,49%,28%
19,Rennes,24%,48%,28%
20,Monaco,23%,46%,29%
