R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Paris Saint-Germain,24,5,49,616
2,Nice,11,3,50,555
3,Lyon,18,5,53,476
4,Marseille,18,2,58,449
5,Rennes,18,2,66,418
6,Lorient,20,1,65,399
7,Monaco,25,2,61,386
8,Lille,18,1,59,383
9,Montpellier,22,1,68,379
10,Bordeaux,18,1,61,373
11,Saint-Etienne,20,2,64,366
12,Angers,19,1,63,359
13,Nantes,22,1,62,353
14,Guingamp,19,1,68,344
15,Dijon,18,1,69,343
16,Caen,25,1,71,328
17,Toulouse,17,1,68,301
18,Nancy,18,1,72,292
19,SC Bastia,15,1,74,291
20,Metz,18,1,70,289
