R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Chievo,9%,49%,42%
2,Genoa,9%,52%,38%
3,Inter,8%,54%,39%
4,Roma,8%,56%,36%
5,Udinese,8%,52%,40%
6,Atalanta,8%,57%,34%
7,Juventus,7%,55%,38%
8,Napoli,7%,47%,46%
9,Pescara,7%,51%,42%
10,Crotone,7%,49%,44%
11,Sassuolo,7%,53%,40%
12,Torino,6%,49%,45%
13,Lazio,6%,57%,37%
14,AC Milan,6%,50%,44%
15,Sampdoria,6%,47%,47%
16,Bologna,5%,43%,52%
17,Fiorentina,5%,48%,48%
18,Cagliari,5%,57%,38%
19,Empoli,4%,58%,38%
20,Palermo FC,4%,47%,49%
