R,Team,Left Side,Middle of the pitch,Right Side
1,Empoli,43%,27%,31%
2,Bologna,42%,26%,32%
3,Napoli,40%,31%,30%
4,Lazio,39%,25%,36%
5,Genoa,39%,25%,36%
6,Inter,38%,26%,36%
7,Cagliari,37%,28%,35%
8,Palermo FC,37%,26%,37%
9,Udinese,37%,25%,38%
10,Atalanta,37%,24%,39%
11,Pescara,37%,26%,37%
12,Roma,36%,30%,34%
13,Crotone,36%,29%,35%
14,Torino,35%,25%,40%
15,Fiorentina,34%,32%,34%
16,AC Milan,34%,28%,38%
17,Sassuolo,34%,27%,39%
18,Chievo,33%,29%,38%
19,Juventus,32%,29%,40%
20,Sampdoria,31%,29%,40%
