R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Napoli,75,2,12,5,0
2,Roma,58,5,13,12,2
3,Juventus,50,2,17,3,5
4,Inter,48,2,17,3,2
5,Torino,45,2,19,5,0
6,Fiorentina,43,2,11,6,1
7,Lazio,42,2,17,12,1
8,Atalanta,41,0,16,5,0
9,Sassuolo,37,1,12,9,1
10,Cagliari,36,1,12,4,2
11,Sampdoria,34,0,4,7,4
12,Genoa,31,1,2,2,2
13,AC Milan,30,3,15,7,2
14,Bologna,29,3,6,1,1
15,Udinese,29,4,12,2,0
16,Chievo,27,1,10,4,1
17,Pescara,23,1,6,2,3
18,Palermo FC,19,2,11,1,0
19,Empoli,17,0,8,4,0
20,Crotone,16,2,12,4,0
