Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Roma,17.8,6.2,10.3,12.7,7.14
2. Napoli,17.7,6.9,10.7,11.2,7.04
3. Juventus,15.3,5.8,10.7,14.6,7.02
4. Inter,16.7,5.5,11.4,13.4,6.94
5. Atalanta,14.1,5.2,11.1,14.3,6.93
6. Lazio,15.6,5.6,10.8,11.2,6.90
7. AC Milan,14.6,5,10.6,13.5,6.82
8. Torino,15.2,4.8,9.4,12.6,6.79
9. Fiorentina,16.2,5.9,10.9,13.9,6.78
10. Sassuolo,11.6,4.4,9.1,14,6.78
11. Sampdoria,13.3,4.4,9.7,13.1,6.72
12. Udinese,11.5,4.1,9,13.2,6.70
13. Bologna,11.1,3.8,7.9,13.5,6.67
14. Chievo,10.7,3.4,6.4,14.1,6.67
15. Cagliari,11.2,4.6,6.3,13.1,6.64
16. Empoli,9.6,3.3,9.9,15.8,6.62
17. Genoa,11.9,3.9,8,11.4,6.60
18. Crotone,10.7,3.4,5.7,12.2,6.59
19. Palermo FC,10.2,3.1,7.6,13.8,6.54
20. Pescara,11.7,3.8,9.4,13.8,6.50
