R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Bologna,9%,54%,37%
2,Torino,9%,55%,36%
3,Palermo FC,9%,54%,37%
4,Udinese,8%,52%,40%
5,Sampdoria,8%,55%,37%
6,Empoli,8%,51%,42%
7,Cagliari,7%,48%,46%
8,Inter,7%,52%,42%
9,Pescara,7%,49%,43%
10,Fiorentina,6%,56%,37%
11,Lazio,6%,50%,44%
12,Chievo,6%,49%,44%
13,Genoa,6%,52%,42%
14,Crotone,6%,52%,42%
15,Sassuolo,6%,56%,38%
16,AC Milan,5%,52%,43%
17,Roma,5%,49%,46%
18,Napoli,5%,51%,44%
19,Juventus,5%,43%,52%
20,Atalanta,4%,51%,45%
