R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Crotone,24,1,68,490
2,Udinese,22,1,60,466
3,Cagliari,26,1,64,449
4,Pescara,22,1,59,449
5,Palermo FC,23,1,62,439
6,Chievo,23,1,66,438
7,Bologna,24,2,56,437
8,Sassuolo,25,1,67,412
9,Lazio,18,1,61,400
10,Genoa,17,1,62,392
11,Empoli,22,1,80,392
12,Atalanta,19,1,61,390
13,Torino,21,1,63,381
14,Juventus,15,1,59,362
15,Sampdoria,23,2,77,359
16,Napoli,15,1,71,349
17,AC Milan,21,1,59,348
18,Roma,19,1,59,334
19,Inter,15,1,65,333
20,Fiorentina,19,1,63,331
