R,Team,Left Side,Attempts from the middle,Right Side
1,Roma,24%,61%,15%
2,Juventus,23%,59%,18%
3,Bologna,21%,65%,14%
4,Sampdoria,21%,62%,17%
5,Empoli,21%,63%,16%
6,Sassuolo,21%,61%,19%
7,Fiorentina,19%,66%,14%
8,AC Milan,19%,60%,21%
9,Cagliari,19%,64%,17%
10,Atalanta,19%,64%,17%
11,Inter,18%,61%,21%
12,Chievo,18%,63%,19%
13,Udinese,17%,65%,18%
14,Lazio,17%,69%,14%
15,Palermo FC,17%,66%,17%
16,Genoa,16%,66%,17%
17,Napoli,16%,62%,22%
18,Pescara,16%,68%,17%
19,Torino,15%,66%,18%
20,Crotone,15%,65%,20%
