R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Cagliari,57,1,9,7,2
2,Pescara,54,5,17,6,1
3,Palermo FC,51,3,16,6,1
4,Chievo,44,4,8,4,1
5,Torino,43,3,12,7,1
6,Empoli,42,3,9,5,2
7,Sassuolo,38,2,15,5,1
8,Udinese,37,0,9,8,2
9,Crotone,37,0,15,6,0
10,Genoa,36,1,19,4,4
11,Bologna,35,2,15,4,2
12,Fiorentina,35,4,13,5,0
13,Sampdoria,35,1,13,6,0
14,Lazio,34,0,9,5,3
15,Roma,30,1,5,2,0
16,Inter,29,2,11,5,2
17,AC Milan,28,1,9,5,2
18,Napoli,25,0,10,3,1
19,Atalanta,23,1,12,4,1
20,Juventus,17,2,6,1,1
