R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Napoli,21,2,58,630
2,Juventus,21,2,67,485
3,Fiorentina,22,2,62,481
4,Roma,24,3,64,459
5,Inter,32,2,57,438
6,AC Milan,21,1,63,418
7,Sampdoria,21,1,59,415
8,Lazio,21,2,67,404
9,Empoli,19,1,56,394
10,Torino,19,1,62,391
11,Atalanta,22,1,63,389
12,Pescara,17,1,60,382
13,Bologna,16,1,65,370
14,Chievo,19,1,70,367
15,Genoa,24,0,65,357
16,Palermo FC,18,0,65,354
17,Sassuolo,20,1,72,342
18,Cagliari,15,1,67,326
19,Udinese,22,1,64,302
20,Crotone,19,0,73,249
