R,Team,Left Side,Attempts from the middle,Right Side
1,Napoli,24%,62%,14%
2,Pescara,23%,60%,17%
3,Empoli,21%,64%,15%
4,Crotone,21%,63%,16%
5,Torino,20%,60%,20%
6,Lazio,20%,63%,18%
7,Cagliari,20%,67%,13%
8,Atalanta,20%,62%,18%
9,Bologna,19%,64%,17%
10,Inter,19%,65%,16%
11,AC Milan,19%,62%,19%
12,Udinese,19%,65%,16%
13,Roma,18%,66%,16%
14,Palermo FC,18%,64%,18%
15,Genoa,17%,66%,17%
16,Sassuolo,17%,61%,21%
17,Sampdoria,16%,64%,20%
18,Fiorentina,15%,60%,25%
19,Chievo,14%,69%,17%
20,Juventus,12%,71%,16%
