R,Team,Fouls,Unprofessional,Dive,Other
1,Palermo FC,91,3,0,15
2,Empoli,91,3,0,14
3,Fiorentina,82,2,0,17
4,AC Milan,78,5,0,19
5,Chievo,75,3,0,11
6,Pescara,75,4,0,21
7,Genoa,74,5,0,22
8,Cagliari,72,8,0,28
9,Udinese,70,1,0,16
10,Crotone,70,10,0,14
11,Lazio,69,8,0,20
12,Torino,68,6,0,13
13,Atalanta,66,7,0,17
14,Sassuolo,66,5,0,21
15,Inter,61,6,0,15
16,Bologna,60,5,0,31
17,Sampdoria,57,6,0,16
18,Juventus,55,4,0,11
19,Napoli,45,1,0,14
20,Roma,43,6,0,15
