Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Barcelona,95,15.8,712,67.4,89.6,6.2,7.21
2. Real Madrid,102,19.1,947,55.0,82.9,10.1,7.20
3. Valencia,64,13.1,1128,54.6,80.0,11.8,6.97
4. Villarreal,54,13.9,885,52.7,82.2,7.8,6.95
5. Atletico Madrid,62,15.1,1065,49.9,76.6,10.7,6.89
6. Real Zaragoza,40,14,1209,46.2,71.2,13.9,6.85
7. Sevilla,62,13.8,1007,52.7,80.1,13.7,6.85
8. Osasuna,46,12.7,1067,47.9,70.2,17,6.85
9. Sporting Gijon,35,11.6,1096,45.0,72.5,12,6.85
10. Athletic Bilbao,59,13.4,1037,48.1,74.2,15.6,6.84
11. Mallorca,41,13,884,47.0,74.1,15.6,6.83
12. Racing Santander,41,12.3,887,47.9,75.6,12.8,6.83
13. Malaga,54,11.8,1027,48.9,78.3,11.9,6.83
14. Real Sociedad,49,11.3,800,46.8,70.8,16.3,6.81
15. Getafe,49,13.8,1097,50.7,77.0,11.6,6.81
16. Deportivo La Coruna,31,11,855,45.2,75.2,14,6.78
17. Espanyol,46,12.3,1095,51.9,77.3,10.2,6.75
18. Hercules,36,10.5,938,50.1,75.6,14.4,6.75
19. Levante,43,10.4,1263,44.0,70.4,13.8,6.73
20. Almeria,36,12.2,1014,48.0,73.5,13.8,6.72
