R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Real Sociedad,37,8,19,1,1
2,Malaga,37,7,15,9,0
3,Almeria,36,12,18,2,2
4,Atletico Madrid,34,6,9,4,0
5,Mallorca,32,7,9,7,1
6,Hercules,32,6,20,2,0
7,Sevilla,31,7,17,4,2
8,Levante,29,4,13,4,2
9,Racing Santander,28,10,11,7,0
10,Real Madrid,25,1,3,3,1
11,Espanyol,25,6,19,3,2
12,Athletic Bilbao,24,9,11,8,3
13,Deportivo La Coruna,24,7,12,2,2
14,Getafe,24,13,12,10,1
15,Real Zaragoza,22,8,15,6,2
16,Osasuna,20,7,16,2,1
17,Sporting Gijon,20,3,13,5,1
18,Villarreal,19,8,15,2,0
19,Valencia,18,9,10,6,1
20,Barcelona,10,3,4,4,0
