R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Barcelona,71,9,9,5,1
2,Real Madrid,51,24,15,11,1
3,Atletico Madrid,37,9,13,2,1
4,Sevilla,33,6,13,10,0
5,Valencia,32,14,15,2,1
6,Villarreal,32,5,13,4,0
7,Getafe,25,5,12,4,3
8,Malaga,24,10,17,3,0
9,Athletic Bilbao,23,7,20,7,2
10,Hercules,23,1,9,3,0
11,Osasuna,21,2,17,5,0
12,Real Sociedad,21,9,11,4,4
13,Espanyol,20,8,10,6,2
14,Almeria,20,4,12,0,0
15,Levante,18,6,15,2,0
16,Racing Santander,17,5,15,1,3
17,Sporting Gijon,17,4,5,7,2
18,Mallorca,16,4,17,4,0
19,Deportivo La Coruna,13,1,11,5,1
20,Real Zaragoza,13,8,12,6,1
