R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Deportivo La Coruna,25,6,73,424
2,Sporting Gijon,22,4,75,404
3,Levante,25,5,71,403
4,Racing Santander,24,6,73,400
5,Real Zaragoza,23,5,72,396
6,Mallorca,23,6,68,394
7,Real Sociedad,25,4,64,377
8,Malaga,22,5,63,368
9,Almeria,26,5,63,359
10,Atletico Madrid,21,5,65,356
11,Hercules,20,5,65,356
12,Athletic Bilbao,21,7,68,352
13,Villarreal,23,5,65,352
14,Getafe,21,7,62,345
15,Osasuna,22,5,71,342
16,Sevilla,21,6,61,338
17,Espanyol,22,5,63,336
18,Real Madrid,19,4,56,329
19,Valencia,24,5,61,305
20,Barcelona,13,2,52,231
