R,Team,Left Side,Attempts from the middle,Right Side
1,Getafe,27%,56%,17%
2,Atletico Madrid,24%,57%,19%
3,Sporting Gijon,24%,56%,20%
4,Real Sociedad,23%,56%,21%
5,Racing Santander,23%,60%,18%
6,Espanyol,23%,56%,21%
7,Real Madrid,22%,62%,16%
8,Real Zaragoza,21%,62%,17%
9,Mallorca,20%,59%,21%
10,Barcelona,20%,60%,20%
11,Deportivo La Coruna,20%,60%,21%
12,Levante,20%,59%,21%
13,Almeria,19%,63%,18%
14,Athletic Bilbao,18%,67%,15%
15,Malaga,18%,63%,19%
16,Hercules,18%,65%,17%
17,Valencia,17%,62%,21%
18,Sevilla,17%,67%,16%
19,Osasuna,17%,64%,19%
20,Villarreal,16%,59%,25%
