R,Team,Left Side,Attempts from the middle,Right Side
1,Crystal Palace,26%,63%,11%
2,Manchester United,25%,64%,12%
3,Chelsea,22%,63%,15%
4,Newcastle United,21%,64%,15%
5,Tottenham,21%,63%,16%
6,Aston Villa,19%,68%,13%
7,Watford,19%,70%,11%
8,Southampton,19%,69%,12%
9,Brighton,19%,70%,11%
10,Norwich,18%,64%,17%
11,Burnley,17%,71%,12%
12,Leicester,16%,70%,13%
13,Wolverhampton Wanderers,16%,68%,16%
14,Sheffield United,16%,70%,14%
15,Arsenal,15%,71%,14%
16,West Ham,15%,70%,15%
17,Liverpool,15%,68%,17%
18,Manchester City,15%,69%,16%
19,Bournemouth,13%,76%,11%
20,Everton,12%,72%,16%
