R,Team,Fouls,Unprofessional,Dive,Other
1,Watford,65,4,0,12
2,Tottenham,65,6,0,15
3,Arsenal,61,4,0,27
4,Bournemouth,61,8,0,10
5,West Ham,57,2,0,5
6,Everton,56,4,0,16
7,Aston Villa,54,5,0,11
8,Manchester United,53,5,0,15
9,Norwich,53,3,0,15
10,Newcastle United,52,4,0,13
11,Burnley,51,2,0,14
12,Manchester City,51,1,0,14
13,Chelsea,50,1,0,9
14,Wolverhampton Wanderers,49,0,0,12
15,Sheffield United,49,3,0,12
16,Crystal Palace,46,6,0,12
17,Southampton,44,4,0,10
18,Brighton,43,2,0,15
19,Leicester,37,1,0,7
20,Liverpool,32,1,0,6
