Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Manchester City,19.6,7,12.8,7.8,7.05
2. Liverpool,15.6,6.1,10.2,7.7,6.94
3. Leicester,14.2,5,9.9,11.7,6.87
4. Chelsea,16.4,5.9,12.1,10.1,6.86
5. Manchester United,14.3,5.7,11.7,11.2,6.83
6. Wolverhampton Wanderers,12.1,3.9,13.4,9.5,6.83
7. Tottenham,11.7,4.2,11.8,11.2,6.78
8. Burnley,10.2,3.5,6.5,9.7,6.74
9. West Ham,11,4.3,10.4,9.1,6.72
10. Sheffield United,9.3,3,9.1,8.1,6.72
11. Arsenal,10.7,4,10.8,11.5,6.71
12. Southampton,13.1,4.8,11.1,10.2,6.71
13. Everton,12.3,4.3,9.8,10.4,6.68
14. Crystal Palace,9.9,3.2,11.4,12.6,6.68
15. Newcastle United,10.5,3.5,10.5,11.1,6.65
16. Brighton,12.2,3.8,8.8,8.6,6.63
17. Aston Villa,12,3.9,9.2,13.8,6.62
18. Bournemouth,10.2,3.2,8.6,10.2,6.60
19. Watford,11.2,3.2,8.4,9,6.59
20. Norwich,10.8,3.4,11.2,11.3,6.52
