R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Newcastle United,11%,53%,35%
2,Crystal Palace,11%,54%,35%
3,Sheffield United,11%,51%,38%
4,Chelsea,10%,58%,32%
5,West Ham,10%,59%,31%
6,Manchester City,10%,61%,29%
7,Norwich,10%,57%,33%
8,Aston Villa,9%,57%,34%
9,Southampton,9%,59%,32%
10,Watford,9%,54%,36%
11,Brighton,9%,60%,31%
12,Leicester,8%,59%,33%
13,Liverpool,8%,57%,35%
14,Manchester United,8%,54%,38%
15,Tottenham,8%,55%,37%
16,Bournemouth,8%,52%,40%
17,Arsenal,7%,56%,38%
18,Everton,7%,59%,35%
19,Wolverhampton Wanderers,6%,58%,36%
20,Burnley,5%,54%,41%
