R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Bayern Munich,11%,57%,32%
2,Hoffenheim,10%,54%,36%
3,Hertha Berlin,9%,59%,32%
4,Eintracht Frankfurt,9%,61%,30%
5,RB Leipzig,9%,61%,31%
6,VfB Stuttgart,8%,52%,40%
7,Borussia Dortmund,7%,60%,33%
8,Werder Bremen,7%,57%,36%
9,Mainz 05,7%,51%,43%
10,Wolfsburg,6%,57%,37%
11,Fortuna Duesseldorf,6%,55%,38%
12,Nuernberg,6%,49%,46%
13,Bayer Leverkusen,5%,59%,36%
14,Schalke 04,5%,57%,38%
15,Borussia M.Gladbach,5%,57%,37%
16,Hannover 96,5%,55%,39%
17,Freiburg,5%,50%,45%
18,Augsburg,5%,57%,38%
