R,Team,Left Side,Attempts from the middle,Right Side
1,Freiburg,24%,60%,15%
2,Borussia Dortmund,20%,64%,16%
3,Werder Bremen,20%,65%,15%
4,Eintracht Frankfurt,19%,69%,11%
5,RB Leipzig,19%,63%,18%
6,VfB Stuttgart,18%,67%,15%
7,Fortuna Duesseldorf,18%,63%,19%
8,Borussia M.Gladbach,17%,63%,21%
9,Hannover 96,17%,68%,15%
10,Augsburg,17%,66%,16%
11,Schalke 04,16%,64%,19%
12,Hertha Berlin,16%,69%,15%
13,Hoffenheim,16%,71%,12%
14,Mainz 05,16%,71%,13%
15,Nuernberg,16%,68%,16%
16,Bayer Leverkusen,15%,64%,20%
17,Bayern Munich,15%,70%,15%
18,Wolfsburg,13%,71%,16%
