Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Paris Saint-Germain,12.7,4,1.1,7.6,7.09
2. Marseille,14.8,5.6,1,8.2,7.03
3. Lyon,13.6,6.2,0.7,6.7,6.98
4. Monaco,11.9,4.2,1,6.7,6.97
5. Saint-Etienne,11.7,5,0.6,6.1,6.90
6. Montpellier,10.4,4.2,0.7,5.6,6.90
7. Caen,12.1,5.2,0.7,6.2,6.87
8. Lille,12.2,6,0.4,5.8,6.83
9. Lorient,12.8,5.5,0.6,6.7,6.81
10. Bordeaux,12.8,5.3,0.7,6.8,6.80
11. Nantes,11.2,5,0.6,5.6,6.79
12. Nice,11,5.4,0.8,4.9,6.79
13. Rennes,9.6,3.8,0.4,5.3,6.75
14. SC Bastia,8.4,4.1,0.6,3.7,6.74
15. Toulouse,11.3,4.4,0.5,6.4,6.74
16. Guingamp,9.4,3.3,0.5,5.6,6.71
17. Reims,11.6,5.2,0.9,5.5,6.71
18. Metz,11.8,6.2,0.4,5.2,6.70
19. Lens,10.6,4.2,0.5,5.9,6.67
20. Thonon Evian Grand Geneve,8.8,4.1,0.6,4.1,6.67
