R,Team,Own Third,Middle Third,Opposition Third
1,Rennes,30%,46%,24%
2,Marseille,29%,44%,28%
3,SC Bastia,29%,45%,25%
4,Guingamp,29%,44%,26%
5,Nice,29%,47%,25%
6,Reims,29%,45%,26%
7,Metz,28%,45%,28%
8,Toulouse,27%,44%,29%
9,Lens,27%,46%,26%
10,Bordeaux,27%,46%,27%
11,Thonon Evian Grand Geneve,27%,47%,27%
12,Caen,27%,45%,27%
13,Saint-Etienne,26%,46%,28%
14,Lorient,26%,47%,27%
15,Nantes,26%,46%,27%
16,Montpellier,26%,48%,27%
17,Paris Saint-Germain,26%,49%,26%
18,Lille,26%,46%,28%
19,Monaco,25%,45%,29%
20,Lyon,25%,48%,27%
